date,index_close,index_volume,index_amount,index_turnover
2025-06-13,3864.1822,17253953600,309172346179.9,0
2025-06-16,3873.7951,13734183500,246860982863.3,0
2025-06-17,3870.3786,12234252600,220399818948.5,0
2025-06-18,3874.9708,12752862100,230553858263.6,0
2025-06-19,3843.0912,13028065800,234840180805.5,0
2025-06-20,3846.6443,11815102000,213522822874.5,0
2025-06-23,3857.9016,13380089200,232482215850.4,0
2025-06-24,3904.0342,16365618800,294228720612.5,0
2025-06-25,3960.0662,18721367100,361727254624.0,0
2025-06-26,3946.0195,16531626300,328102847495.6,0
2025-06-27,3921.7578,19455791300,343468229813.8,0
2025-06-30,3936.0791,14517023600,288821434921.4,0
2025-07-01,3942.762,12895936200,236070338399.4,0
2025-07-02,3943.6849,14706306200,246637847453.8,0
2025-07-03,3968.0676,14100400600,269609569538.7,0
2025-07-04,3982.2034,15719713300,290512992198.0,0
2025-07-07,3965.1746,13113527300,225106992875.9,0
2025-07-08,3998.4527,15640289500,292089834223.8,0
2025-07-09,3991.4006,17329379600,305398796562.7,0
2025-07-10,4010.0243,20977890400,347836703626.3,0
2025-07-11,4014.807,26205277300,443780794880.4,0
2025-07-14,4017.6678,20791717500,321415945157.1,0
2025-07-15,4019.0644,19104293100,353524574440.9,0
2025-07-16,4007.2019,15102730800,300656795664.6,0
2025-07-17,4034.491,16124904100,325516865722.7,0
2025-07-18,4058.5486,18621106300,354244444629.7,0
2025-07-21,4085.6072,22326847600,377938564877.6,0
2025-07-22,4118.9582,25759698500,450874014479.4,0
2025-07-23,4119.7685,30050615400,470330899420.8,0
2025-07-24,4149.0368,31963239200,487000043884.1,0
2025-07-25,4127.1634,27359496300,430445513470.9,0
2025-07-28,4135.8242,22275981500,406792873973.3,0
2025-07-29,4152.0247,23080788000,428764310973.8,0
2025-07-30,4151.2379,24985304800,445168467668.0,0
2025-07-31,4075.5912,26708740600,492142571738.8,0
2025-08-01,4054.9286,19622182600,359685164163.4,0
2025-08-04,4070.7023,16227590200,295976826632.4,0
2025-08-05,4103.45,17885199900,306934255765.6,0
2025-08-06,4113.4852,17667615500,307674626124.8,0
2025-08-07,4114.666,19864190200,358108366983.7,0
2025-08-08,4104.9669,17317120100,308507687634.7,0
2025-08-11,4122.5106,19044371600,360685826235.0,0
2025-08-12,4143.8252,17728782300,383088423330.0,0
2025-08-13,4176.5776,21393499900,462776745465.3,0
2025-08-14,4173.3131,22110359500,485075642622.0,0
2025-08-15,4202.3533,26132756600,518686873500.8,0
2025-08-18,4239.4125,30147910200,635365867184.5,0
2025-08-19,4223.3741,25081877100,553536203259.6,0
2025-08-20,4271.3958,24648177300,538815306146.9,0
2025-08-21,4288.0707,25903001400,558521268967.4,0
2025-08-22,4377.9977,29043489700,675935075408.9,0
